                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.2909,                0.66263,                 1.1074,                0.93652,                0.85399,                0.92923,                0.58717,                 1.3375,                0.61189,                 1.1615,             0.00059429,             0.00059429,             0.00059429
                     67,                  1.281,                0.65889,                 1.1036,                 0.9279,                0.85585,                0.92911,                 0.5692,                 1.3803,                0.62096,                 1.1745,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.2649,                0.65561,                 1.0918,                 0.9274,                 0.8663,                0.93143,                0.59234,                 1.3164,                 0.6048,                 1.1569,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.2842,                0.66968,                 1.1073,                0.91537,                0.87011,                0.92737,                0.57862,                 1.3481,                 0.6178,                 1.1676,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.2754,                0.65596,                 1.0905,                0.93273,                0.86405,                0.92904,                0.59166,                 1.3149,                0.60885,                   1.15,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.2656,                0.65229,                 1.0899,                0.92126,                0.85886,                0.92301,                0.57804,                 1.3501,                0.61349,                 1.1689,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.2703,                0.64976,                 1.0901,                0.93049,                0.85664,                0.92533,                 0.5768,                 1.3431,                0.61983,                 1.1648,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.2698,                 0.6469,                 1.0925,                0.92865,                0.87106,                0.93077,                0.59284,                 1.3263,                0.59719,                 1.1534,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.2539,                0.64133,                 1.0828,                0.92803,                0.86766,                0.92854,                0.58043,                 1.3403,                0.60752,                 1.1603,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.2635,                0.64347,                 1.0822,                0.92032,                0.85979,                0.92549,                0.57851,                 1.3608,                0.61554,                 1.1687,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.2653,                0.63917,                 1.0922,                0.93796,                0.86143,                0.93256,                0.58936,                  1.341,                0.59273,                 1.1582,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.2484,                0.63076,                 1.0844,                0.92116,                0.87523,                0.93382,                0.59131,                 1.3376,                0.59852,                 1.1555,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.2512,                0.62834,                 1.0835,                0.92484,                0.86201,                  0.928,                0.58567,                 1.3404,                0.59877,                 1.1592,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2598,                0.63035,                 1.0831,                0.90394,                 0.8676,                0.92476,                0.58341,                 1.3327,                0.60005,                 1.1569,             0.00037974,             0.00037974,             0.00037974
                     80,                  1.248,                0.62441,                 1.0864,                0.91486,                0.87217,                0.92919,                0.58295,                 1.3413,                0.60137,                 1.1597,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.2454,                 0.6297,                 1.0844,                0.91917,                0.86087,                0.92927,                 0.5863,                 1.3364,                0.59673,                 1.1585,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.2521,                0.62593,                 1.0866,                0.92413,                0.87071,                0.93137,                0.58923,                 1.3339,                0.59661,                 1.1582,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.2372,                0.62181,                 1.0788,                0.91649,                 0.8807,                 0.9328,                0.58741,                 1.3437,                0.59749,                 1.1664,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.2465,                0.62408,                 1.0747,                0.93021,                0.86031,                0.93122,                0.58296,                 1.3458,                0.60035,                 1.1649,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.2386,                0.61463,                 1.0753,                0.90944,                0.87685,                0.93161,                0.57831,                 1.3454,                0.59793,                 1.1617,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.2458,                0.62116,                 1.0765,                0.92226,                  0.866,                0.92768,                0.58116,                 1.3491,                 0.5979,                 1.1656,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.2286,                0.61047,                 1.0697,                0.92472,                0.86209,                0.93119,                0.58357,                 1.3383,                0.59076,                 1.1629,             0.00024772,             0.00024772,             0.00024772
